Element Number	Equivalent (von-Mises) Stress (Pa)
519	5,7332e+006
520	1,0406e+007
521	8,5084e+006
522	1,047e+007
523	5,9153e+006
524	1,2186e+007
525	7,954e+006
526	7,8694e+006
527	7,6481e+006
528	4,2736e+006
529	1,4675e+007
530	1,4426e+007
531	4,1816e+006
532	5,63e+006
533	8,1624e+006
534	4,6585e+006
535	6,4488e+006
536	6,5484e+006
537	3,1028e+006
538	3,366e+006
539	3,7186e+006
540	4,7157e+006
541	7,4094e+006
542	4,2029e+006
543	6,2307e+006
544	5,1277e+006
545	4,7485e+006
546	5,3964e+006
547	5,6739e+006
548	7,0962e+006
549	4,6143e+006
550	3,7436e+006
551	1,6056e+007
552	4,183e+006
553	3,4903e+006
554	3,8516e+006
555	3,4634e+006
556	5,3127e+006
557	2,6698e+006
558	2,7198e+006
559	7,6086e+006
560	4,7944e+006
561	2,0387e+007
562	2,5399e+007
563	3,0382e+007
564	1,5631e+007
565	1,4312e+007
566	1,3123e+007
567	3,0192e+007
568	1,2565e+007
569	1,2622e+007
570	1,7163e+007
571	1,3747e+007
572	3,133e+007
573	7,4922e+006
574	1,3236e+007
575	3,0587e+007
576	2,3934e+007
577	1,0809e+007
578	1,2602e+007
579	1,1434e+007
580	6,0748e+006
581	3,7364e+006
582	7,3306e+006
583	6,9648e+006
584	7,3978e+006
585	3,3963e+006
586	2,828e+006
587	4,9548e+006
588	6,6314e+006
589	5,4691e+006
590	5,9658e+006
591	6,838e+006
592	3,9344e+006
593	3,5128e+006
594	4,203e+006
595	3,384e+006
596	5,3034e+006
597	1,7236e+007
598	4,2481e+006
599	3,1771e+006
600	9,3971e+006
601	3,4323e+006
602	4,313e+006
603	3,9522e+006
604	6,9886e+006
605	9,1377e+006
606	1,0485e+007
607	8,5909e+006
608	9,2867e+006
609	7,6984e+006
610	7,7717e+006
611	8,6767e+006
612	5,9609e+006
613	6,6747e+006
614	6,5516e+006
615	7,885e+006
616	9,9509e+006
617	6,2456e+006
618	1,0875e+007
619	5,3812e+006
620	7,7322e+006
621	4,1677e+006
622	2,9952e+006
623	6,0161e+006
624	5,5823e+006
625	6,7316e+006
626	6,0243e+006
627	6,3756e+006
628	2,5138e+006
629	5,0293e+006
630	9,855e+006
631	7,1435e+006
632	2,6957e+006
633	5,4035e+006
634	4,9034e+006
635	2,5372e+006
636	6,4547e+006
637	6,6762e+006
638	8,0175e+006
639	7,723e+006
640	7,8315e+006
641	6,1557e+006
642	6,8527e+006
643	8,3687e+006
644	8,5502e+006
645	7,0551e+006
646	9,0004e+006
647	1,5361e+006
648	3,2838e+006
649	4,4749e+006
650	7,662e+006
651	1,0171e+007
652	1,2942e+007
653	5,7482e+006
654	9,6264e+006
655	7,7391e+006
656	9,395e+006
657	5,0232e+006
658	3,3212e+006
659	8,7757e+006
660	6,6629e+006
661	6,5031e+006
662	7,9944e+006
663	6,2881e+006
664	5,3068e+006
665	2,834e+006
666	9,4969e+006
667	8,4924e+006
668	3,993e+006
669	3,424e+006
670	4,2479e+006
671	4,7979e+006
672	6,7969e+006
673	2,9515e+006
674	7,8297e+006
675	7,2651e+006
676	4,5699e+006
677	8,3192e+006
678	6,0417e+006
679	6,8801e+006
680	3,6921e+006
681	6,0816e+006
682	5,1205e+006
683	5,8045e+006
684	8,6211e+006
685	6,7597e+006
686	3,932e+006
687	6,8737e+006
688	7,3807e+006
689	1,1949e+007
690	5,8635e+006
691	4,945e+006
692	1,3808e+007
693	5,4915e+006
694	3,6789e+006
695	4,3278e+006
696	2,8084e+006
697	5,3566e+006
698	4,6716e+006
699	1,5292e+007
700	3,8465e+006
701	1,2214e+007
702	5,475e+006
703	2,9424e+006
704	4,2077e+006
705	1,3213e+007
706	1,3237e+007
707	1,0057e+007
708	6,5533e+006
709	8,5545e+006
710	9,0138e+006
711	8,0083e+006
712	5,6181e+006
713	7,7847e+006
714	7,0999e+006
715	4,7742e+006
716	7,7762e+006
717	6,7904e+006
718	7,6142e+006
719	5,0284e+006
720	1,2166e+007
721	9,207e+006
722	5,0419e+006
723	7,6828e+006
724	6,6221e+006
725	7,5658e+006
726	1,4265e+007
727	1,2906e+007
728	8,2319e+006
729	2,5062e+006
730	6,929e+006
731	8,158e+006
732	8,3996e+006
733	7,3435e+006
734	6,2552e+006
735	5,5298e+006
736	4,9547e+006
737	9,0797e+006
738	1,2287e+007
739	7,228e+006
740	1,4646e+007
741	9,2315e+006
742	8,0485e+006
743	8,0216e+006
744	8,9224e+006
745	7,185e+006
746	8,3547e+006
747	8,4349e+006
748	8,378e+006
749	1,1423e+007
750	3,798e+006
751	6,4747e+006
752	1,6222e+007
753	1,6187e+007
754	4,2353e+006
755	4,3138e+006
756	3,3138e+006
757	5,8345e+006
758	6,6645e+006
759	1,6823e+007
760	2,1026e+007
761	1,1679e+007
762	7,7288e+006
763	8,6795e+006
764	1,3726e+007
765	1,1116e+007
766	1,0829e+007
767	7,7529e+006
