Element Number	Equivalent Elastic Strain (m/m)
514	3,6511e-005
515	2,4786e-005
516	1,8716e-005
517	2,0184e-005
518	3,1274e-005
519	2,8666e-005
520	5,2029e-005
521	4,2542e-005
522	5,2351e-005
523	2,9576e-005
524	6,0932e-005
525	3,977e-005
526	3,9347e-005
527	3,824e-005
528	2,1368e-005
529	7,3374e-005
530	7,2129e-005
531	2,0908e-005
532	2,815e-005
533	4,0812e-005
534	2,3292e-005
535	3,2244e-005
536	3,2742e-005
537	1,5514e-005
538	1,683e-005
539	1,8593e-005
540	2,3578e-005
541	3,7047e-005
542	2,1015e-005
543	3,1154e-005
544	2,5638e-005
545	2,3742e-005
546	2,6982e-005
547	2,837e-005
548	3,5481e-005
549	2,3072e-005
550	1,8718e-005
551	8,028e-005
552	2,0915e-005
553	1,7452e-005
554	1,9258e-005
555	1,7317e-005
556	2,6563e-005
557	1,3349e-005
558	1,3599e-005
559	3,8043e-005
560	2,3972e-005
561	1,0193e-004
562	1,2699e-004
563	1,5191e-004
564	7,8157e-005
565	7,1561e-005
566	6,5615e-005
567	1,5096e-004
568	6,2823e-005
569	6,311e-005
570	8,5814e-005
571	6,8736e-005
572	1,5665e-004
573	3,7461e-005
574	6,618e-005
575	1,5294e-004
576	1,1967e-004
577	5,4043e-005
578	6,3008e-005
579	5,7171e-005
580	3,0374e-005
581	1,8682e-005
582	3,6653e-005
583	3,4824e-005
584	3,6989e-005
585	1,6982e-005
586	1,414e-005
587	2,4774e-005
588	3,3157e-005
589	2,7345e-005
590	2,9829e-005
591	3,419e-005
592	1,9672e-005
593	1,7564e-005
594	2,1015e-005
595	1,692e-005
596	2,6517e-005
597	8,6178e-005
598	2,124e-005
599	1,5885e-005
600	4,6986e-005
601	1,7161e-005
602	2,1565e-005
603	1,9761e-005
604	3,4943e-005
605	4,5689e-005
606	5,2427e-005
607	4,2955e-005
608	4,6434e-005
609	3,8492e-005
610	3,8858e-005
611	4,3383e-005
612	2,9804e-005
613	3,3373e-005
614	3,2758e-005
615	3,9425e-005
616	4,9754e-005
617	3,1228e-005
618	5,4373e-005
619	2,6906e-005
620	3,8661e-005
621	2,0838e-005
622	1,4976e-005
623	3,0081e-005
624	2,7911e-005
625	3,3658e-005
626	3,0122e-005
627	3,1878e-005
628	1,2569e-005
629	2,5147e-005
630	4,9275e-005
631	3,5718e-005
632	1,3478e-005
633	2,7017e-005
634	2,4517e-005
635	1,2686e-005
636	3,2274e-005
637	3,3381e-005
638	4,0087e-005
639	3,8615e-005
640	3,9157e-005
641	3,0779e-005
642	3,4264e-005
643	4,1843e-005
644	4,2751e-005
645	3,5275e-005
646	4,5002e-005
647	7,6805e-006
648	1,6419e-005
649	2,2374e-005
650	3,831e-005
651	5,0857e-005
652	6,4711e-005
653	2,8741e-005
654	4,8132e-005
655	3,8695e-005
656	4,6975e-005
657	2,5116e-005
658	1,6606e-005
659	4,3879e-005
660	3,3314e-005
661	3,2516e-005
662	3,9972e-005
663	3,144e-005
664	2,6534e-005
665	1,417e-005
666	4,7485e-005
667	4,2462e-005
668	1,9965e-005
669	1,712e-005
670	2,1239e-005
671	2,3989e-005
672	3,3984e-005
673	1,4758e-005
674	3,9149e-005
675	3,6325e-005
676	2,285e-005
677	4,1596e-005
678	3,0209e-005
679	3,4401e-005
680	1,846e-005
681	3,0408e-005
682	2,5603e-005
683	2,9022e-005
684	4,3105e-005
685	3,3799e-005
686	1,966e-005
687	3,4369e-005
688	3,6903e-005
689	5,9746e-005
690	2,9317e-005
691	2,4725e-005
692	6,9042e-005
693	2,7458e-005
694	1,8395e-005
695	2,1639e-005
696	1,4042e-005
697	2,6783e-005
698	2,3358e-005
699	7,6459e-005
700	1,9233e-005
701	6,107e-005
702	2,7375e-005
703	1,4712e-005
704	2,1039e-005
705	6,6064e-005
706	6,6187e-005
707	5,0287e-005
708	3,2766e-005
709	4,2773e-005
710	4,5069e-005
711	4,0042e-005
712	2,809e-005
713	3,8923e-005
714	3,55e-005
715	2,3871e-005
716	3,8881e-005
717	3,3952e-005
718	3,8071e-005
719	2,5142e-005
720	6,0832e-005
721	4,6035e-005
722	2,521e-005
723	3,8414e-005
724	3,3111e-005
725	3,7829e-005
726	7,1323e-005
727	6,4529e-005
728	4,116e-005
729	1,2531e-005
730	3,4645e-005
731	4,079e-005
732	4,1998e-005
733	3,6718e-005
734	3,1276e-005
735	2,7649e-005
736	2,4773e-005
737	4,5398e-005
738	6,1436e-005
739	3,614e-005
740	7,323e-005
741	4,6158e-005
742	4,0243e-005
743	4,0108e-005
744	4,4612e-005
745	3,5925e-005
746	4,1774e-005
747	4,2175e-005
748	4,189e-005
749	5,7115e-005
750	1,899e-005
751	3,2374e-005
752	8,1111e-005
753	8,0935e-005
754	2,1177e-005
755	2,1569e-005
756	1,6569e-005
757	2,9172e-005
758	3,3322e-005
759	8,4113e-005
760	1,0513e-004
761	5,8393e-005
762	3,8644e-005
763	4,3398e-005
764	6,8632e-005
765	5,5582e-005
766	5,4145e-005
767	3,8764e-005
768	4,162e-005
769	7,3574e-005
770	6,5014e-005
771	5,0066e-005
772	6,4621e-005
773	1,6979e-005
774	4,0225e-005
775	4,4454e-005
776	3,5232e-005
777	2,6191e-005
778	6,1432e-006
779	8,5636e-006
780	4,677e-005
781	2,7599e-005
782	5,0042e-005
783	3,3847e-005
784	3,5143e-005
785	2,9917e-005
786	3,9809e-005
787	8,4484e-005
788	8,064e-005
789	5,2961e-005
790	6,981e-005
791	2,4115e-005
792	7,6083e-005
793	4,0291e-005
794	4,4199e-005
795	3,1186e-005
796	2,2804e-005
797	2,6969e-005
798	1,8981e-005
799	4,6642e-005
800	3,7055e-005
801	1,4411e-005
802	2,3863e-005
803	3,5083e-005
804	7,1706e-005
805	8,2464e-005
806	3,3299e-005
807	3,1827e-005
808	3,0757e-005
809	3,1071e-005
810	2,9599e-005
811	2,7742e-005
812	4,6401e-005
813	2,3083e-005
814	6,5413e-005
815	2,6406e-005
816	2,0184e-005
817	3,9187e-005
818	2,0444e-005
819	2,9635e-005
820	5,8561e-006
821	6,7623e-005
822	3,1182e-005
823	3,7821e-005
824	2,8536e-005
825	5,5573e-005
826	2,2954e-005
827	4,6023e-005
828	3,775e-005
829	2,4565e-005
830	2,2272e-005
831	4,6985e-005
832	3,421e-005
833	3,7121e-005
834	2,6942e-005
835	1,8948e-005
836	1,0757e-005
837	2,393e-005
838	3,2943e-005
839	6,6009e-005
840	4,1218e-005
841	5,5546e-005
842	1,4647e-005
843	3,8098e-005
844	2,9433e-005
845	4,5177e-005
846	3,0714e-005
847	9,3072e-005
848	5,679e-005
849	6,6129e-005
850	7,3112e-005
851	7,4214e-005
852	5,2517e-005
853	5,9734e-005
854	4,5787e-005
855	4,6248e-005
856	4,2763e-005
857	6,6951e-005
858	4,8111e-005
859	7,4888e-005
860	4,4475e-005
861	5,044e-005
862	4,7906e-005
863	4,4879e-005
864	4,2787e-005
865	4,5157e-005
866	4,8985e-005
867	4,761e-005
868	4,8594e-005
869	4,7433e-005
870	6,0679e-005
871	3,8774e-005
872	5,8678e-005
873	5,5011e-005
874	6,8391e-005
875	3,3082e-005
876	5,022e-005
877	5,6594e-005
878	4,4232e-005
879	4,2913e-005
880	1,6946e-004
881	1,1416e-004
882	1,5273e-004
883	1,1852e-004
884	1,0882e-004
885	3,1939e-005
886	3,2229e-005
887	1,8083e-005
888	3,7183e-005
889	3,3834e-005
890	2,9279e-005
891	2,2354e-005
892	2,7508e-005
893	5,003e-005
894	2,5427e-005
895	2,9944e-005
896	2,5945e-005
897	2,5356e-005
898	6,5668e-005
899	3,6277e-005
900	5,0269e-005
901	6,4744e-005
902	4,4898e-005
903	4,1226e-005
904	3,4202e-005
905	2,5143e-005
906	2,2827e-005
907	3,5041e-005
908	3,8413e-005
909	3,2555e-005
910	2,5236e-005
911	4,2462e-005
912	2,5229e-005
913	3,8311e-005
914	3,9661e-005
915	1,7009e-005
916	3,0649e-005
917	2,2693e-005
918	4,2755e-005
919	7,0428e-005
920	1,2931e-005
921	1,4701e-005
922	2,3017e-005
923	2,4063e-005
924	2,0875e-005
925	2,4066e-005
926	2,6697e-005
927	3,762e-005
928	4,0865e-005
929	4,2059e-005
930	3,1842e-005
931	6,4845e-005
932	1,2429e-005
933	4,7499e-006
934	1,0778e-005
935	2,2389e-005
936	3,9185e-005
937	2,4589e-005
938	1,0412e-005
939	2,3841e-005
940	2,6422e-005
941	1,9285e-005
942	1,9707e-005
943	5,499e-005
944	8,3574e-005
945	1,2229e-004
946	1,5731e-005
947	2,407e-005
948	1,723e-005
949	3,7843e-005
950	3,6851e-005
951	2,1687e-005
952	1,8039e-005
953	5,8116e-005
954	4,3986e-005
955	3,7973e-005
956	4,348e-005
957	2,0896e-005
958	1,112e-005
959	1,1376e-004
960	7,6995e-005
961	3,8352e-005
962	4,9596e-005
963	3,5074e-005
964	1,067e-004
965	8,6422e-005
966	1,6071e-005
967	1,0313e-005
968	3,4477e-005
969	2,0966e-005
970	3,7294e-005
971	2,9773e-005
972	3,6484e-005
973	5,2555e-005
974	5,8574e-005
975	2,8647e-005
976	2,1445e-005
977	5,3104e-005
978	3,7957e-005
979	7,3625e-005
980	7,8793e-005
981	1,9665e-005
982	1,3894e-005
983	2,7585e-005
984	3,5002e-005
985	2,946e-005
986	2,182e-005
987	2,8806e-005
988	2,3582e-005
989	5,8187e-006
990	1,1316e-005
991	3,5124e-005
992	3,1846e-005
993	2,346e-005
994	6,0474e-005
995	1,0054e-005
996	1,3568e-005
997	2,8048e-005
998	2,1757e-005
999	2,2761e-005
1000	3,5468e-005
1001	1,4997e-005
1002	1,9864e-005
1003	1,2436e-005
1004	2,5771e-005
1005	3,5773e-005
1006	3,0916e-005
1007	2,9487e-005
1008	1,6438e-005
1009	1,1885e-005
1010	2,5766e-005
1011	4,3228e-005
1012	3,1656e-005
1013	1,7864e-004
1014	1,8195e-005
1015	2,7071e-005
1016	1,8609e-005
1017	3,2323e-005
1018	4,2659e-005
1019	6,6785e-005
1020	3,0795e-005
1021	4,0564e-005
1022	1,8558e-005
1023	1,624e-005
1024	2,0922e-005
1025	3,1627e-005
1026	3,2778e-005
1027	6,7266e-005
1028	3,0275e-005
1029	2,9991e-005
1030	3,386e-005
1031	2,8622e-005
1032	8,1616e-005
1033	5,8924e-005
1034	3,2532e-005
1035	3,9197e-005
1036	7,4113e-005
1037	5,1919e-005
1038	4,7923e-005
1039	2,6511e-005
1040	3,4345e-005
1041	2,7577e-005
1042	2,0249e-005
1043	2,1694e-005
1044	3,112e-005
1045	2,6292e-005
1046	5,3486e-005
1047	6,6652e-005
1048	2,0068e-005
1049	2,6984e-005
1050	3,1136e-005
1051	2,965e-005
1052	2,5909e-005
1053	5,5571e-005
1054	7,206e-005
1055	2,8285e-005
1056	3,5507e-005
1057	4,2797e-005
1058	2,5141e-005
1059	2,704e-005
1060	1,7985e-005
1061	5,9842e-005
1062	3,2543e-005
1063	5,7215e-005
1064	5,3405e-005
1065	4,4135e-005
1066	3,9344e-005
1067	3,4649e-005
1068	3,1809e-005
1069	2,1643e-005
1070	4,8823e-005
1071	7,1129e-005
1072	3,5583e-005
1073	4,3625e-005
1074	1,5561e-004
1075	1,6256e-004
1076	9,3153e-005
1077	6,6139e-005
1078	2,8497e-005
1079	2,4761e-005
1080	2,6079e-005
1081	3,3017e-005
1082	2,0565e-005
1083	2,5307e-005
1084	4,8362e-005
1085	5,2611e-005
1086	5,6176e-005
1087	5,1624e-005
1088	7,0206e-005
1089	5,2064e-005
1090	4,7094e-005
1091	3,4744e-005
1092	4,503e-005
1093	4,812e-005
1094	5,4839e-005
1095	2,7417e-005
1096	5,0274e-005
1097	3,4502e-005
1098	7,3579e-005
1099	2,8724e-005
1100	7,9232e-005
1101	6,4356e-005
1102	5,993e-005
1103	4,5768e-005
1104	2,7961e-005
1105	4,8755e-005
1106	6,3599e-005
1107	6,7375e-005
1108	3,6983e-005
1109	6,2226e-005
1110	6,3742e-005
1111	4,0895e-005
1112	4,8878e-005
1113	7,2724e-005
1114	3,9142e-005
1115	2,5786e-005
