Node Number	X Location (m)	Y Location (m)	Z Location (m)	
181	3,e-003	5,e-002	0,	
182	1,5e-003	5,2598e-002	0,	
183	-1,5e-003	5,2598e-002	0,	
184	-3,e-003	5,e-002	0,	
185	-1,5e-003	4,7402e-002	0,	
186	1,5e-003	4,7402e-002	0,	
187	-4,8733e-002	3,6739e-019	0,	
188	-5,0233e-002	2,5981e-003	0,	
189	-5,3233e-002	2,5981e-003	0,	
190	-5,4733e-002	8,6736e-019	0,	
191	-5,3233e-002	-2,5981e-003	0,	
192	-5,0233e-002	-2,5981e-003	0,	
193	5,4733e-002	3,6739e-019	0,	
194	5,3233e-002	2,5981e-003	0,	
195	5,0233e-002	2,5981e-003	0,	
196	4,8733e-002	8,6736e-019	0,	
197	5,0233e-002	-2,5981e-003	0,	
198	5,3233e-002	-2,5981e-003	0,	
199	3,e-002	3,6739e-018	0,	
200	2,8888e-002	8,0939e-003	0,	
201	2,5633e-002	1,5588e-002	0,	
202	2,0477e-002	2,1925e-002	0,	
203	1,3802e-002	2,6637e-002	0,	
204	6,1037e-003	2,9373e-002	0,	
205	-2,0473e-003	2,993e-002	0,	
206	-1,0046e-002	2,8268e-002	0,	
207	-1,73e-002	2,4509e-002	0,	
208	-2,3271e-002	1,8933e-002	0,	
209	-2,7516e-002	1,1952e-002	0,	
210	-2,9721e-002	4,085e-003	0,	
211	-2,9721e-002	-4,085e-003	0,	
212	-2,7516e-002	-1,1952e-002	0,	
213	-2,3271e-002	-1,8933e-002	0,	
214	-1,73e-002	-2,4509e-002	0,	
215	-1,0046e-002	-2,8268e-002	0,	
216	-2,0473e-003	-2,993e-002	0,	
217	6,1037e-003	-2,9373e-002	0,	
218	1,3802e-002	-2,6637e-002	0,	
219	2,0477e-002	-2,1925e-002	0,	
220	2,5633e-002	-1,5588e-002	0,	
221	2,8888e-002	-8,0939e-003	0,	
222	3,e-002	3,6739e-018	1,e-002	
223	2,8888e-002	8,0939e-003	1,e-002	
224	2,5633e-002	1,5588e-002	1,e-002	
225	2,0477e-002	2,1925e-002	1,e-002	
226	1,3802e-002	2,6637e-002	1,e-002	
227	6,1037e-003	2,9373e-002	1,e-002	
228	-2,0473e-003	2,993e-002	1,e-002	
229	-1,0046e-002	2,8268e-002	1,e-002	
230	-1,73e-002	2,4509e-002	1,e-002	
231	-2,3271e-002	1,8933e-002	1,e-002	
232	-2,7516e-002	1,1952e-002	1,e-002	
233	-2,9721e-002	4,085e-003	1,e-002	
234	-2,9721e-002	-4,085e-003	1,e-002	
235	-2,7516e-002	-1,1952e-002	1,e-002	
236	-2,3271e-002	-1,8933e-002	1,e-002	
237	-1,73e-002	-2,4509e-002	1,e-002	
238	-1,0046e-002	-2,8268e-002	1,e-002	
239	-2,0473e-003	-2,993e-002	1,e-002	
240	6,1037e-003	-2,9373e-002	1,e-002	
241	1,3802e-002	-2,6637e-002	1,e-002	
242	2,0477e-002	-2,1925e-002	1,e-002	
243	2,5633e-002	-1,5588e-002	1,e-002	
244	2,8888e-002	-8,0939e-003	1,e-002	
245	-2,1729e-003	-4,7932e-002	1,4468e-002	
246	-2,9945e-003	-4,9818e-002	6,6831e-003	
247	2,0202e-003	-5,2218e-002	1,2282e-002	
248	2,9655e-003	-5,0454e-002	5,2302e-003	
249	-2,9944e-003	-5,0184e-002	1,49e-002	
250	2,6968e-003	-4,8686e-002	1,0953e-002	
251	-8,2189e-004	-5,2885e-002	6,8401e-003	
252	-2,2213e-004	-4,7008e-002	8,5069e-003	
253	-2,1729e-003	5,2068e-002	1,4468e-002	
254	-2,9945e-003	5,0182e-002	6,6831e-003	
255	2,0202e-003	4,7782e-002	1,2282e-002	
256	2,9655e-003	4,9546e-002	5,2302e-003	
257	-2,9944e-003	4,9816e-002	1,49e-002	
258	2,6968e-003	5,1314e-002	1,0953e-002	
259	-8,2189e-004	4,7115e-002	6,8401e-003	
260	-2,2213e-004	5,2992e-002	8,5069e-003	
261	-4,8789e-002	5,7823e-004	1,2348e-002	
262	-4,9998e-002	2,4475e-003	5,7797e-003	
263	-5,0974e-002	2,9026e-003	1,2269e-002	
264	-5,4729e-002	1,4172e-004	1,2597e-002	
265	-5,131e-002	-2,9701e-003	1,4003e-002	
266	-4,986e-002	-2,344e-003	7,3679e-003	
267	5,4677e-002	5,7823e-004	1,2348e-002	
268	5,3468e-002	2,4475e-003	5,7797e-003	
269	5,2491e-002	2,9026e-003	1,2269e-002	
270	4,8736e-002	1,4172e-004	1,2597e-002	
271	5,2155e-002	-2,9701e-003	1,4003e-002	
272	5,3605e-002	-2,344e-003	7,3679e-003	
273	3,6588e-002	4,7553e-002	1,1009e-002	
274	2,7285e-002	-5,3437e-002	1,0032e-002	
275	5,6997e-002	-1,8745e-002	1,0605e-002	
276	5,8269e-002	1,4307e-002	1,0605e-002	
277	5,0511e-002	-3,2382e-002	1,0251e-002	
278	5,1215e-002	3,1257e-002	1,0112e-002	
279	-5,3604e-002	-2,6955e-002	1,0093e-002	
280	1,9081e-002	5,6885e-002	1,0338e-002	
281	-3,8732e-002	-4,5824e-002	1,0605e-002	
282	3,9629e-002	-4,5051e-002	1,0251e-002	
283	-2,7978e-002	5,3077e-002	1,0605e-002	
284	-5,6742e-002	1,9503e-002	1,0029e-002	
285	-1,6745e-002	-5,7616e-002	1,0605e-002	
286	6,7139e-003	-5,9623e-002	1,1009e-002	
287	2,7877e-003	5,9935e-002	1,0216e-002	
288	-4,6247e-002	3,8225e-002	1,1009e-002	
289	-5,9801e-002	4,882e-003	1,02e-002	
290	-2,6214e-002	-5,3971e-002	8,3413e-003	
291	-5,8829e-002	-1,1794e-002	1,0251e-002	
292	-1,3837e-002	5,8383e-002	1,02e-002	
293	-3,9692e-002	4,4995e-002	8,0759e-003	
294	-2,7044e-003	-5,9939e-002	8,0759e-003	
295	4,4332e-002	4,0432e-002	8,2244e-003	
296	5,9723e-002	-5,7589e-003	1,0605e-002	
297	-2,1401e-002	5,6053e-002	1,0648e-002	
298	-7,9782e-003	-5,9467e-002	9,8471e-003	
299	1,0728e-002	5,9033e-002	1,0138e-002	
300	-5,5278e-003	5,9745e-002	1,0201e-002	
301	7,1159e-003	3,8236e-002	0,	
302	7,1159e-003	-3,8236e-002	0,	
303	-3,7883e-002	5,7282e-003	0,	
304	-3,7755e-002	-8,569e-003	0,	
305	-8,0291e-003	3,9012e-002	0,	
306	-8,0291e-003	-3,9012e-002	0,	
307	4,1204e-002	5,5045e-003	0,	
308	4,1212e-002	-5,4733e-003	0,	
309	-3,8124e-002	2,355e-002	0,	
310	-3,8124e-002	-2,355e-002	0,	
311	1,9955e-002	-4,4025e-002	0,	
312	1,0063e-002	-4,9331e-002	0,	
313	1,9955e-002	4,4025e-002	0,	
314	1,0987e-002	4,8221e-002	0,	
315	-1,8262e-002	4,5548e-002	0,	
316	-2,8193e-002	3,4549e-002	0,	
317	-1,8262e-002	-4,5548e-002	0,	
318	-2,8193e-002	-3,4549e-002	0,	
319	3,5798e-002	2,7077e-002	0,	
320	3,5798e-002	-2,7077e-002	0,	
321	4,6892e-002	-1,8461e-002	0,	
322	4,689e-002	1,8466e-002	0,	
323	-9,3055e-003	-4,8341e-002	0,	
324	-9,3055e-003	4,8341e-002	0,	
325	-4,8416e-002	-1,521e-002	0,	
326	-4,8715e-002	1,4661e-002	0,	
327	5,1451e-002	8,7137e-003	0,	
328	5,1453e-002	-8,7086e-003	0,	
329	3,641e-002	1,5231e-002	0,	
330	3,641e-002	-1,5231e-002	0,	
331	2,8387e-002	-3,5554e-002	0,	
332	2,8387e-002	3,5554e-002	0,	
333	-4,5339e-002	-3,8969e-003	0,	
334	-4,563e-002	4,5745e-003	0,	
335	-5,2254e-002	7,1025e-003	0,	
336	-5,2307e-002	-7,0452e-003	0,	
337	-2,5116e-003	4,3268e-002	0,	
338	-2,5116e-003	-4,3268e-002	0,	
339	5,855e-003	-5,4102e-002	0,	
340	5,081e-002	1,023e-002	2,e-002	
341	5,2456e-002	-1,0249e-002	2,e-002	
342	-8,0841e-003	4,5379e-002	2,e-002	
343	-8,0841e-003	-4,5379e-002	2,e-002	
344	-9,3079e-003	-5,3583e-002	2,e-002	
345	-9,3079e-003	5,3583e-002	2,e-002	
346	9,5277e-003	5,2562e-002	2,e-002	
347	9,5277e-003	-5,2562e-002	2,e-002	
348	4,578e-002	4,2289e-003	2,e-002	
349	-2,8636e-002	-4,2578e-002	9,6713e-003	
350	2,72e-002	-4,1235e-002	1,2165e-002	
351	6,3736e-003	-4,5533e-002	5,8008e-003	
352	-2,8667e-002	3,7873e-002	1,2831e-002	
353	6,2077e-003	5,3083e-002	6,7866e-003	
354	-1,517e-002	-4,9065e-002	1,0408e-002	
355	-3,8758e-002	-3,271e-002	1,1649e-002	
356	5,2796e-002	-1,1222e-002	5,7653e-003	
